Block,GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
202594,G48004100005011,480410005011, , 
202595,G48004100005012,480410005012,95,10
202596,G48004100005013,480410005013,85,8
202597,G48004100005021,480410005021,61,5
202598,G48004100005022,480410005022,58,5
202599,G48004100006031,480410006031,81,8
202600,G48004100006032,480410006032,87,9
202601,G48004100006033,480410006033,94,10
202602,G48004100006034,480410006034,90,9
202603,G48004100006051,480410006051,98,10
202604,G48004100006052,480410006052,98,10
202605,G48004100006053,480410006053,100,10
202606,G48004100006054,480410006054,98,10
202607,G48004100006061,480410006061,93,9
202608,G48004100006062,480410006062,94,10
202609,G48004100007001,480410007001,89,9
202610,G48004100007002,480410007002,63,6
202611,G48004100007003,480410007003,53,4
202612,G48004100007004,480410007004,57,5
202613,G48004100008001,480410008001,84,8
202614,G48004100008002,480410008002,61,5
202615,G48004100008003,480410008003,50,4
202616,G48004100008004,480410008004,65,6
202617,G48004100008005,480410008005,59,5
202618,G48004100009001,480410009001,90,9
202619,G48004100009002,480410009002,92,9
202620,G48004100010011,480410010011,62,6
202621,G48004100010012,480410010012,QDI,QDI
202622,G48004100010013,480410010013,62,6
202623,G48004100010014,480410010014,62,6
202624,G48004100010021,480410010021,56,5
202625,G48004100010022,480410010022,56,5
202626,G48004100010023,480410010023,56,5
202627,G48004100010024,480410010024,56,5
202628,G48004100011011,480410011011,64,6
202629,G48004100011012,480410011012,53,4
202630,G48004100011013,480410011013,49,4
202631,G48004100011021,480410011021,81,8
202632,G48004100011022,480410011022,81,8
202633,G48004100013011,480410013011,62,6
202634,G48004100013012,480410013012,74,7
202635,G48004100013021,480410013021,47,4
202636,G48004100013022,480410013022,47,4
202637,G48004100013023,480410013023,49,4
202638,G48004100013024,480410013024,49,4
202639,G48004100013031,480410013031,50,4
202640,G48004100013032,480410013032,54,4
202641,G48004100013033,480410013033, , 
202642,G48004100013034,480410013034,53,4
202643,G48004100014011,480410014011, , 
202644,G48004100016041,480410016041,61,5
202645,G48004100016042,480410016042,47,4
202646,G48004100016043,480410016043,58,5
202647,G48004100016044,480410016044,57,5
202648,G48004100016045,480410016045,52,4
202649,G48004100016051,480410016051,70,7
202650,G48004100016052,480410016052,72,7
