FIPS,National Risk Index - Score - Composite,Social Vulnerability - Score,Community Resilience - Score,Cold Wave - Hazard Type Risk Index Score,Drought - Hazard Type Risk Index Score,Hail - Hazard Type Risk Index Score,Heat Wave - Hazard Type Risk Index Score,Hurricane - Hazard Type Risk Index Score,Ice Storm - Hazard Type Risk Index Score,Landslide - Hazard Type Risk Index Score,Lightning - Hazard Type Risk Index Score,Riverine Flooding - Hazard Type Risk Index Score,Strong Wind - Hazard Type Risk Index Score,Tornado - Hazard Type Risk Index Score,Volcanic Activity - Hazard Type Risk Index Score,Wildfire - Hazard Type Risk Index Score,Winter Weather - Hazard Type Risk Index Score
48181000101,71.5811,68.38999939,38.06000137,0,83.89501974,93.53921895,90.72801218,41.34122349,79.19322153,50.1626646,56.3584092,88.68263331,73.27094135,91.41535461,,95.37292489,94.73909528
48181000102,52.3522,57.91999817,38.06000137,0,85.74894164,91.82680873,83.34324311,40.16544545,68.98881024,47.43847941,42.51557259,74.27341483,65.87428055,80.25614803,,91.67935119,91.45459735
48181000200,37.8835,78.43000031,38.06000137,0,81.93050469,85.81553537,79.29886315,28.74537202,68.17527681,65.47101233,36.32486823,76.46981877,50.92874471,72.3850069,,88.22004471,85.43856728
48181000302,72.8179,33.86000061,38.06000137,0,81.49645626,95.9936736,87.36146126,36.02466191,76.633675,75.87439671,53.68830858,84.74646815,74.14022737,87.80145555,,96.82133853,95.57627361
48181000304,76.0798,53.5,38.06000137,0,80.16101413,95.09822575,84.30409551,34.54370827,73.57925343,58.24822737,47.62338285,94.8152024,69.87109356,83.12443514,,96.92479665,94.497693
48181000305,28.162,10.89000034,38.06000137,0,72.45635732,89.06673643,63.18793702,24.97482689,50.77094775,70.79187273,24.6969334,80.25376968,47.54435618,58.37891833,,86.13304476,83.78561575
48181000306,42.0123,23.35000038,38.06000137,0,0,90.30347714,76.39965752,26.52858891,64.68471908,90.58690341,33.47628174,83.92712743,55.23831042,69.71293345,,86.65747039,87.98577748
48181000400,44.8473,80.83999634,38.06000137,0,0,90.81244351,83.65480664,27.21019937,71.9448442,55.19394626,43.16602779,66.45697569,60.58959235,78.42006374,,85.40289207,90.32488227
48181000501,55.9922,96.83999634,38.06000137,0,0,92.69371641,89.25819341,30.23716946,77.85544363,0,54.38548155,54.46772582,68.58202921,87.56599914,,85.16267897,93.39770727
48181000502,29.4297,81.94999695,38.06000137,0,0,90.94563098,71.42534367,27.63620591,60.09868131,0,33.47388596,0,54.20016173,65.75298483,,0,87.89302193
48181000600,50.7623,49.04999924,38.06000137,0,0,89.2629501,83.8379394,30.81653835,72.6658639,66.79377942,42.98035458,80.45117253,58.21837987,78.95875945,,92.20377682,89.52456833
48181000700,56.8829,84.37999725,38.06000137,0,0,92.02064406,89.75170052,28.86310474,78.34885019,0,54.46454241,73.20910431,68.11468392,88.00242591,,29.98382724,93.07544118
48181000800,62.585,49.59000015,38.06000137,0,0,94.01964515,90.73276887,32.12554025,79.81732209,66.21938867,57.1382367,77.20591733,72.3303049,90.4687723,,86.70265899,94.70936593
48181000901,67.7223,59.29999924,38.06000137,0,72.55030205,95.62146221,88.7325786,35.08899664,77.90684014,87.05237443,54.14829899,84.71554964,74.03082338,88.97160253,,93.26689816,95.42643771
48181000903,68.5083,78.5,38.06000137,0,0,97.46824906,86.38158208,38.96488157,76.41046727,0,57.80186871,85.58840318,78.06450078,88.81582077,,86.13066641,96.59063882
48181000904,55.6236,29.68000031,38.06000137,0,76.22009228,92.92798364,85.03186986,30.55938531,73.61449675,0,46.10206037,85.21619179,65.45331304,81.74618275,,86.62655187,92.59977168
48181001101,72.3862,63.04000092,38.06000137,0,85.83812967,95.80340579,89.9835894,39.34441467,78.0918676,0,56.78246287,88.34134044,77.4247253,90.49612329,,95.11844171,95.47400466
48181001103,58.4776,38.72000122,38.06000137,0,78.63768254,92.65685202,86.39941968,30.53459948,74.64683251,0,47.93483469,77.42353613,66.19297912,83.32897303,,93.63316368,92.61166342
48181001104,55.5832,23.29999924,38.06000137,0,83.79869667,90.45806973,75.37458974,30.47573312,62.61711063,43.29738426,32.73718256,79.55215716,56.43343005,68.50235456,,96.56685535,87.67778148
48181001200,57.3598,34.83000183,38.06000137,0,0,91.43319222,89.89915806,30.15816461,77.64545214,52.155157,51.89985625,81.43105171,69.05413119,87.87399515,,30.474956,92.47015174
48181001300,72.6502,82.29000092,38.06000137,0,73.20910431,94.36569472,89.59948628,37.81698759,76.43836823,82.71465173,53.52180163,95.45973458,75.52085811,88.74090282,,48.94995957,93.98040242
48181001400,69.3835,90.61000061,38.06000137,0,79.62112924,95.62859725,93.27641155,38.12990876,82.47672472,0,63.8440345,49.49103363,80.14674404,94.73671693,,87.99766922,95.93540408
