ZIP,ADI National Rank,ADI State Rank,Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation,Social Vulnerability Index,National Risk Index (FEMA),Social Vulnerability Score,Community Resilience Score,Longitude,Latitude,Miles to UMC
75076,51.5,4,0.18,0.3,0.02,0.44,0.22,72.8179,33.86000061,38.06000137,-96.71915602,33.79610255,297.006467
75077,31.96424158,2.481947207,0.251297453,0.31345089,0.242312328,0.343670832,0.265955568,74.4156235,33.47796071,36.95000076,-97.06400101,33.07921516,280.1470874
75078,15.15876114,1.259986073,0.098204307,0.192320637,0.294467511,0.117049705,0.083642828,91.41069237,11.27622973,37.93999863,-96.80790656,33.24526301,293.4143133
75080,30.16741289,2.199580514,0.350316647,0.355719931,0.388221599,0.495703644,0.377956481,61.39235328,52.30039945,8.177065026,-96.74160883,32.97381881,299.7548031
75081,32.2957182,2.311199459,0.382632107,0.458749535,0.412786768,0.599753688,0.450529572,58.39729592,52.81945218,5.610000134,-96.70899391,32.949692,301.9005327
75082,31.1541962,2.391672036,0.198631008,0.292598967,0.277401033,0.240684496,0.193561499,48.61246085,28.27482967,5.610000134,-96.66528054,32.99212735,303.9192048
75083,28.33333333,2,0.07,0.23,0.13,0.31,0.12,37.5196,9.13999939,5.610000134,NA,NA,NA
75085,39.66666667,3,0.62,0.88,0.4,0.75,0.73,81.2051,85.75,5.610000134,NA,NA,NA
75086,39.38873802,3.175079872,0.438626037,0.320061305,0.348265417,0.394612333,0.385870898,87.56790912,42.57340724,37.93999863,NA,NA,NA
75087,37.2645649,2.902666158,0.191503023,0.341470623,0.267137777,0.32551859,0.238200245,81.6137285,36.5212605,59.61651549,-96.44138593,32.94582258,317.2597692
75088,41.62636248,3.15129587,0.306137588,0.458482086,0.399402102,0.340963719,0.331919527,58.46909001,44.28674336,19.47334112,-96.53929373,32.89368831,312.2776991
75089,41.04624958,3.095021863,0.385686176,0.410030272,0.59141776,0.122880928,0.28858224,52.40690388,38.3116908,5.610000134,-96.5443792,32.93194461,311.5261018
75090,65.46718998,6.008003492,0.484320631,0.548158271,0.2130457,0.590085998,0.506297124,68.70634444,64.79730927,38.06000137,-96.54656276,33.60542186,306.9209029
75092,63.01187851,5.675682186,0.480043132,0.473635811,0.183357388,0.563298496,0.469402787,71.90691226,61.97194539,38.06000137,-96.70008246,33.648676,298.0328568
75093,16.10165949,1.308604608,0.246822891,0.244763171,0.391124591,0.428655476,0.272314553,86.65243883,35.62045267,37.93999863,-96.80946726,33.03521855,295.1931352
75094,57.8,5.4,0.57,0.49,0.65,0.73,0.63,94.5072,78.36000061,37.93999863,-96.61479885,33.01876121,306.5241374
75097,21,1.333333333,0.17,0.09,0.11,0.11,0.07,89.7303,15.39000034,37.93999863,NA,NA,NA
75098,30.02228383,2.162703913,0.33998055,0.419380383,0.297579883,0.181200333,0.265740483,92.33891767,42.71096586,37.93999863,-96.53529929,33.01431187,311.1282215
75099,12.5,0.75,0.02,0.15,0.44,0.06,0.03,85.1924,7,5.610000134,NA,NA,NA
75101,71.5,6.5,0.5,0.77,0.38,0.44,0.54,29.6758,65.62999725,49.04999924,-96.70244939,32.27002373,313.6878978
75102,80.23183121,7.804897109,0.424024486,0.476587653,0.104269341,0.428905965,0.384514196,81.23304767,58.2109156,19.88999939,-96.64000061,32.08269621,321.4143646
75103,69.85861252,6.755600139,0.371583622,0.443389047,0.033800589,0.584773468,0.402372543,68.66619052,58.96622287,20.01000023,-95.88364501,32.51201778,355.1030341
75104,49.44965417,4.081584006,0.48718809,0.536245594,0.685512628,0.304873717,0.453480809,57.76380681,59.85682561,9.962205368,-96.96710656,32.58294625,292.6772368
75105,80.5,8,0.45,0.63,0.46,0.64,0.56,87.1105,73.19999695,19.88999939,-96.3668583,32.26718947,332.4346041
75109,74.90956175,7.295192563,0.479851474,0.675828319,0.360939904,0.803930231,0.63313276,92.10899664,85.56259211,19.88999939,-96.3561735,32.04239055,337.9986866
75110,76.80994633,7.438550984,0.533340741,0.673827588,0.280959223,0.626305752,0.58865161,85.34265262,76.52647583,19.88999939,-96.52341507,32.08067325,327.879053
75114,45,3.666666667,0.44,0.54,0.21,0.65,0.49,63.2474,49.77999878,39.20000076,-96.44323459,32.60768514,321.8389739
75115,53.17455177,4.522359938,0.432932669,0.58451757,0.7881267,0.458855858,0.519408311,63.9860841,68.06927454,5.610000134,-96.86433232,32.59830956,298.196307
75116,56.49131729,5.095022267,0.65910847,0.7271632,0.653760525,0.526251032,0.657129354,61.53184158,75.43731755,5.610000134,-96.91400257,32.66011679,294.3397188
75117,66.33333333,6.333333333,0.28,0.4,0.03,0.3,0.25,63.4959,44.77999878,20.01000023,-95.85271893,32.71001647,353.8772698
75119,63.34201525,5.704450855,0.534342216,0.636352948,0.426835886,0.621627879,0.595445858,57.39059475,73.50298558,45.81419918,-96.59114732,32.32290256,318.7677803
75124,74.69278667,7.14805058,0.647407596,0.541853169,0.076518481,0.905184809,0.680889115,59.18111528,79.50758432,8.68999958,-95.96933236,32.32576452,353.5492794
75125,92,9.333333333,0.84,0.88,0.68,0.98,0.95,93.7009,94.86000061,5.610000134,-96.61566182,32.52980292,313.4215454
